Table 4,,,,,,,,,,,,,,,
January to June 2012-2013,,,,,,,,,,,,,,,
Offenses Reported to Law Enforcement ,,,,,,,,,,,,,,,
"by State by City 100,000 and over in population",,,,,,,,,,,,,,,
State,City,,Population1,"Violent
crime",Murder,Rape,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson2,,
ALABAMA,BIRMINGHAM3,2012,"213,266",,,,,,,,,,,,
,,2013,,"1,468",39,79,455,895,"6,357","1,942","3,964",451,,,
,HUNTSVILLE,2012,"183,691",813,1,46,231,535,"4,606","1,095","3,136",375,10,,
,,2013,,793,12,22,208,551,"4,347",893,"3,149",305,,,
,"MOBILE3, 4",2012,"251,516",,,,,,,,,,,,
,,2013,,725,11,14,195,505,"6,032","1,459","4,270",303,,,
,MONTGOMERY,2012,"209,018",315,12,13,150,140,"4,461","1,127","2,968",366,30,,
,,2013,,374,25,22,178,149,"4,361",984,"3,000",377,,,
ALASKA,ANCHORAGE5,2012,"299,143","1,217",11,145,234,827,"4,871",503,"4,009",359,47,,
,,2013,,"1,200",9,199,240,752,"5,571",591,"4,583",397,33,,
ARIZONA,CHANDLER6   ,2012,"242,721",315,2,37,72,204,"3,412",513,"2,765",134,27,,
,,2013,,291,0,23,83,185,"2,923",495,"2,318",110,36,,
,GILBERT5,2012,"214,264",103,4,9,25,65,"1,707",325,"1,286",96,14,,
,,2013,,102,1,6,23,72,"1,585",302,"1,216",67,14,,
,GLENDALE,2012,"232,997",566,7,25,201,333,"7,107","1,441","5,010",656,49,,
,,2013,,479,6,28,182,263,"6,811","1,240","5,103",468,34,,
,MESA ,2012,"451,391",889,8,85,257,539,"7,045","1,291","5,334",420,46,,
,,2013,,877,14,91,236,536,"6,414","1,171","4,759",484,74,,
,PEORIA,2012,"158,347",152,5,7,39,101,"2,444",516,"1,768",160,6,,
,,2013,,143,4,12,35,92,"1,995",338,"1,545",112,3, ,
,PHOENIX7 ,2012,"1,485,509","4,451",61,263,"1,716","2,411","29,394","8,560","17,262","3,572",159,,
,,2013,,,52,322,"1,714",,"29,754","8,515","18,065","3,174",135,,
,SCOTTSDALE,2012,"223,432",149,2,18,51,78,"3,022",602,"2,300",120,20,, 
,,2013,,190,2,29,49,110,"2,842",550,"2,193",99,10,,
,SURPRISE,2012,"120,793",78,1,4,27,46,"1,359",313,981,65,7,,
,,2013,,74,0,8,28,38,"1,050",187,788,75,4,,
,TEMPE     ,2012,"166,061",446,9,28,125,284,"3,857",570,"3,048",239,15,,
,,2013,,404,2,32,111,259,"3,834",692,"2,898",244,30,,
,"TUCSON6, 8",2012,"531,535","1,867",20,127,587,"1,133",,"2,344",,"1,259",94,,
,,2013,,"1,689",23,103,508,"1,055","17,071","2,524","13,384","1,163",85,,
ARKANSAS5,LITTLE ROCK,2012,"196,055","1,230",21,72,338,799,"7,483","1,971","4,994",518,46,,
,,2013,,"1,255",18,55,404,778,"7,453","1,852","5,012",589,51,,
CALIFORNIA,ANAHEIM,2012,"344,526",605,8,47,216,334,"4,901",725,"3,400",776,12,,
,,2013,,614,6,39,237,332,"5,111",784,"3,536",791,16,,
,ANTIOCH,2012,"105,009",517,4,16,175,322,"2,487",889,"1,023",575,17,,
,,2013,,497,7,6,177,307,"2,071",721,892,458,30,,
,BAKERSFIELD,2012,"355,696",917,16,21,310,570,"8,351","2,237","4,618","1,496",114,,
,,2013,,934,13,27,335,559,"8,327","2,191","4,741","1,395",111,,
,BERKELEY,2012,"114,961",259,3,18,178,60,"2,657",434,"1,903",320,6,,
,,2013,,299,1,16,221,61,"2,621",474,"1,855",292,8,,
,BURBANK,2012,"105,057",117,0,13,60,44,"1,221",167,962,92,6,,
,,2013,,96,0,10,31,55,"1,180",158,912,110,4,,
,CARLSBAD,2012,"107,879",137,0,15,18,104,983,237,685,61,3,,
,,2013,,105,0,10,23,72,"1,064",279,723,62,8,,
,CHULA VISTA,2012,"249,830",283,5,16,112,150,"2,429",433,"1,502",494,14,,
,,2013,,298,2,19,124,153,"2,668",495,"1,786",387,28,,
,CONCORD,2012,"125,205",204,0,13,80,111,"1,929",414,"1,244",271,9,,
,,2013,,214,1,5,80,128,"1,977",421,"1,279",277,5,,
,CORONA ,2012,"157,342",107,0,6,52,49,"1,939",365,"1,353",221,6,,
,,2013,,91,6,5,36,44,"1,636",301,"1,103",232,4,,
,COSTA MESA ,2012,"112,635",130,0,14,43,73,"1,850",335,"1,353",162,13,,
,,2013,,114,0,20,44,50,"1,713",237,"1,321",155,6,,
,DALY CITY,2012,"103,311",116,0,5,40,71,872,194,558,120,14,,
,,2013,,105,0,6,49,50,904,174,562,168,16,,
,DOWNEY,2012,"113,628",189,2,7,93,87,"1,712",325,949,438,0,,
,,2013,,172,4,6,89,73,"1,671",302,949,420,1,,
,EL CAJON,2012,"101,864",188,1,16,68,103,"1,305",259,839,207,7,,
,,2013,,162,1,8,75,78,"1,441",243,968,230,7,,
,ELK GROVE,2012,"156,344",239,1,7,39,192,"1,582",343,"1,120",119,16,,
,,2013,,245,0,6,47,192,"1,426",271,"1,071",84,7,,
,EL MONTE,2012,"115,356",191,2,8,105,76,"1,146",283,557,306,6,,
,,2013,,168,1,6,75,86,"1,043",281,511,251,4,,
,ESCONDIDO ,2012,"147,386",308,4,18,98,188,"1,875",390,"1,150",335,10,,
,,2013,,268,3,14,94,157,"1,703",310,"1,041",352,4,,
,FAIRFIELD,2012,"107,110",244,7,14,65,158,"1,600",310,"1,024",266,12,,
,,2013,,282,3,7,93,179,"1,553",401,972,180,10,,
,FONTANA ,2012,"200,874",390,4,15,130,241,"2,188",578,"1,174",436,11,,
,,2013,,365,3,13,116,233,"2,190",502,"1,238",450,6,,
,FREMONT ,2012,"218,927",150,2,3,63,82,"2,204",648,"1,285",271,6,,
,,2013,,155,1,12,80,62,"1,969",516,"1,135",318,8,,
,FRESNO,2012,"506,011","1,398",29,27,475,867,"12,571","2,847","7,716","2,008",66,,
,,2013,,"1,317",21,23,470,803,"11,295","2,711","6,605","1,979",99,,
,FULLERTON,2012,"138,455",244,0,11,74,159,"1,913",398,"1,347",168,5,,
,,2013,,194,0,16,51,127,"1,941",343,"1,450",148,12,,
,GARDEN GROVE,2012,"175,079",236,0,10,66,160,"1,996",387,"1,326",283,13,,
,,2013,,228,1,8,71,148,"1,685",336,"1,109",240,15,,
,GLENDALE,2012,"194,902",109,0,3,54,52,"1,563",276,"1,121",166,7,,
,,2013,,90,0,4,31,55,"1,537",266,"1,136",135,2,,
,HAYWARD,2012,"147,424",321,2,19,169,131,"2,335",554,"1,098",683,19,,
,,2013,,295,2,15,171,107,"2,480",544,"1,039",897,6,,
,HUNTINGTON BEACH,2012,"194,677",139,1,12,32,94,"2,521",382,"1,988",151,27,,
,,2013,,186,0,14,51,121,"2,378",382,"1,830",166,11,,
,INGLEWOOD,2012,"111,488",380,5,16,183,176,"1,311",308,677,326,12,,
,,2013,,372,3,17,159,193,"1,352",337,735,280,15,,
,IRVINE,2012,"217,528",54,1,5,19,29,"1,564",249,"1,270",45,8,,
,,2013,,59,2,9,16,32,"1,756",316,"1,353",87,8,,
,LANCASTER,2012,"159,155",468,6,23,155,284,"1,773",540,"1,016",217,43,,
,,2013,,403,6,23,108,266,"1,705",500,"1,032",173,16,,
,LONG BEACH ,2012,"469,893","1,401",15,63,600,723,"6,968","1,802","3,932","1,234",60,,
,,2013,,"1,176",20,54,588,514,"6,537","1,963","3,378","1,196",45,,
,LOS ANGELES,2012,"3,855,122","9,178",151,477,"4,409","4,141","43,051","7,979","27,766","7,306",,,
,,2013,,"8,163",133,380,"3,849","3,801","42,127","7,938","27,111","7,078",454,,
,MODESTO ,2012,"204,631",775,12,28,239,496,"5,399","1,261","3,271",867,24,,
,,2013,,841,6,43,211,581,"4,880","1,120","3,173",587,31,,
,MORENO VALLEY,2012,"199,673",353,1,10,145,197,"3,039","1,021","1,585",433,4,,
,,2013,,336,4,18,170,144,"3,022",965,"1,627",430,3,,
,MURRIETA,2012,"106,839",31,0,5,8,18,791,178,559,54,2,,
,,2013,,32,0,3,9,20,828,152,565,111,3,,
,NORWALK ,2012,"107,295",192,4,5,79,104,"1,309",290,763,256,7,,
,,2013,,212,3,12,73,124,"1,177",248,665,264,5,,
,OAKLAND,2012,"399,487","3,702",53,135,"1,949","1,565","12,485","3,114","6,033","3,338",97,,
,,2013,,"4,104",45,89,"2,541","1,429","12,258","2,616","6,298","3,344",71,,
,OCEANSIDE,2012,"171,141",330,4,25,75,226,"1,892",363,"1,302",227,10,,
,,2013,,347,7,22,91,227,"2,238",299,"1,750",189,11,,
,ONTARIO,2012,"167,933",241,0,16,124,101,"2,493",521,"1,528",444,16,,
,,2013,,205,5,11,90,99,"2,420",478,"1,342",600,17,,
,ORANGE,2012,"139,692",75,4,4,36,31,"1,364",222,"1,006",136,11,,
,,2013,,56,2,2,21,31,"1,306",277,886,143,5,,
,OXNARD ,2012,"201,797",289,4,0,150,135,"1,909",401,"1,269",239,19,,
,,2013,,327,6,7,161,153,"2,533",516,"1,733",284,10,,
,PALMDALE,2012,"155,294",395,2,21,108,264,"1,633",507,994,132,16,,
,,2013,,362,4,11,126,221,"1,742",606,955,181,11,,
,PASADENA,2012,"139,382",181,1,7,77,96,"1,735",440,"1,181",114,28,,
,,2013,,216,2,11,80,123,"1,832",515,"1,186",131,11,,
,POMONA,2012,"151,511",457,11,25,176,245,"2,429",418,"1,471",540,9,,
,,2013,,473,14,40,167,252,"2,228",467,"1,219",542,8,,
,RANCHO CUCAMONGA ,2012,"169,276",161,2,5,54,100,"2,118",710,"1,206",202,7,,
,,2013,,160,0,10,64,86,"2,008",725,"1,060",223,4,,
,RIALTO,2012,"101,595",260,1,10,102,147,"1,811",497,894,420,6,,
,,2013,,227,1,11,100,115,"1,541",435,671,435,7,,
,RICHMOND,2012,"106,357",548,10,23,183,332,"2,334",724,818,792,13,,
,,2013,,655,11,20,225,399,"2,455",888,879,688,8,,
,RIVERSIDE,2012,"313,532",603,10,36,235,322,"5,050","1,060","3,361",629,34,,
,,2013,,720,6,35,271,408,"5,573","1,075","3,638",860,48,,
,ROSEVILLE,2012,"122,896",147,2,4,50,91,"1,557",256,"1,201",100,10,,
,,2013,,134,0,7,33,94,"1,664",240,"1,315",109,6,,
,SACRAMENTO,2012,"476,557","1,731",15,67,576,"1,073","9,658","2,123","5,764","1,771",65,,
,,2013,,"1,609",18,43,614,934,"9,088","2,159","5,555","1,374",77,,
,SALINAS,2012,"154,413",514,13,20,241,240,"2,280",562,"1,282",436,23,,
,,2013,,504,6,13,245,240,"2,850",540,"1,455",855,14,,
,SAN BERNARDINO ,2012,"214,987",928,23,32,376,497,"4,939","1,398","2,425","1,116",22,,
,,2013,,943,23,33,396,491,"4,709","1,337","1,983","1,389",29,,
,SAN DIEGO,2012,"1,338,477","2,719",27,172,726,"1,794","15,286","2,782","9,371","3,133",86,,
,,2013,,"2,514",19,143,686,"1,666","15,767","3,043","9,579","3,145",86,,
,SAN FRANCISCO,2012,"820,363","2,767",38,55,"1,601","1,073","17,987","2,643","12,910","2,434",104,,
,,2013,,"3,278",22,40,"1,989","1,227","22,181","2,799","16,535","2,847",120,,
,SAN JOSE   ,2012,"976,459","1,761",18,130,614,999,"12,885","2,421","7,006","3,458",80,,
,,2013,,"1,569",24,123,524,898,"13,482","2,616","6,410","4,456",76,,
,SANTA ANA,2012,"332,482",677,6,25,283,363,"3,495",503,"2,269",723,19,,
,,2013,,549,8,31,222,288,"3,406",452,"2,216",738,10,,
,SANTA CLARA,2012,"119,360",97,0,7,33,57,"1,596",284,"1,117",195,13,,
,,2013,,89,0,5,27,57,"1,413",221,"1,005",187,9,,
,SANTA CLARITA,2012,"179,248",164,0,11,51,102,"1,344",290,924,130,12,,
,,2013,,135,1,11,35,88,"1,391",387,881,123,9,,
,SANTA MARIA,2012,"101,207",314,0,11,48,255,"1,026",291,541,194,2,,
,,2013,,333,2,11,64,256,"1,446",336,786,324,7,,
,SANTA ROSA,2012,"170,862",325,1,40,66,218,"1,986",390,"1,428",168,15,,
,,2013,,280,0,19,56,205,"1,762",310,"1,292",160,14,,
,SIMI VALLEY,2012,"126,686",77,2,5,17,53,996,204,727,65,4,,
,,2013,,81,0,6,19,56,893,195,628,70,9,,
,STOCKTON,2012,"299,105","2,401",33,56,790,"1,522","7,460","2,261","4,115","1,084",36,,
,,2013,,"1,897",12,49,567,"1,269","7,762","2,212","4,450","1,100",43,,
,SUNNYVALE,2012,"143,606",78,3,8,31,36,"1,199",235,808,156,15,,
,,2013,,79,2,9,20,48,"1,233",292,739,202,7,,
,TEMECULA,2012,"103,414",54,0,8,21,25,"1,185",265,834,86,1,,
,,2013,,52,3,7,20,22,"1,578",414,"1,026",138,4,,
,THOUSAND OAKS,2012,"129,171",78,0,11,20,47,957,144,762,51,7,,
,,2013,,74,0,4,27,43,936,182,697,57,7,,
,TORRANCE,2012,"147,851",83,1,8,42,32,"1,358",260,955,143,2,,
,,2013,,83,0,7,36,40,"1,425",290,934,201,2,,
,VALLEJO,2012,"117,912",449,6,24,199,220,"2,951","1,305",879,767,21,,
,,2013,,527,12,20,209,286,"2,683","1,411",730,542,30,,
,VENTURA,2012,"108,511",153,1,17,70,65,"1,753",334,"1,307",112,11,,
,,2013,,138,1,15,50,72,"1,917",372,"1,427",118,5,,
,VICTORVILLE,2012,"118,687",355,2,20,108,225,"2,019",805,921,293,11,,
,,2013,,338,5,23,106,204,"1,877",621,938,318,7,,
,VISALIA,2012,"127,604",269,2,22,67,178,"2,666",558,"1,876",232,2,,
,,2013,,247,2,13,87,145,"2,212",492,"1,435",285,1,,
,WEST COVINA,2012,"107,861",130,0,5,49,76,"1,641",250,"1,098",293,1,,
,,2013,,132,1,2,53,76,"1,692",281,"1,172",239,0,,
COLORADO5,ARVADA,2012,"109,029",77,0,13,21,43,"1,270",193,"1,001",76,12,,
,,2013,,75,0,17,13,45,"1,366",168,"1,108",90,14,,
,AURORA,2012,"336,952",743,8,103,245,387,"5,048",920,"3,674",454,33,,
,,2013,,714,10,117,240,347,"5,328",952,"3,917",459,44,,
,BOULDER,2012,"100,257",102,0,17,24,61,"1,442",233,"1,148",61,16,,
,,2013,,142,0,23,13,106,"1,333",223,"1,066",44,10,,
,CENTENNIAL,2012,"104,022",78,0,19,18,41,703,152,512,39,11,,
,,2013,,86,5,20,12,49,571,88,456,27,7,,
,COLORADO SPRINGS,2012,"432,287",975,11,203,229,532,"8,500","1,734","6,021",745,36,,
,,2013,,884,14,180,191,499,"8,564","1,744","5,899",921,30,,
,DENVER,2012,"628,545","1,826",20,200,527,"1,079","10,807","2,334","6,777","1,696",54,,
,,2013,,"1,765",20,216,492,"1,037","11,237","2,290","7,295","1,652",31,,
,FORT COLLINS,2012,"148,792",203,1,26,21,155,"2,020",281,"1,674",65,5,,
,,2013,,177,0,35,14,128,"1,813",239,"1,512",62,6,,
,LAKEWOOD,2012,"146,404",316,0,44,75,197,"3,038",420,"2,376",242,7,,
,,2013,,321,4,59,59,199,"3,536",436,"2,800",300,9,,
,PUEBLO,2012,"109,065",391,4,12,93,282,"3,318",908,"2,195",215,24,,
,,2013,,466,1,84,110,271,"3,561",867,"2,486",208,15,,
,THORNTON6,2012,"123,115",149,1,24,23,101,"1,603",228,"1,228",147,12,,
,,2013,,126,3,31,18,74,"1,445",182,"1,095",168,11,,
,WESTMINSTER,2012,"109,461",120,0,13,20,87,"1,364",197,"1,046",121,5,,
,,2013,,120,1,9,28,82,"1,430",212,"1,039",179,7,,
CONNECTICUT,BRIDGEPORT,2012,"146,030",699,11,25,281,382,"2,448",654,"1,342",452,15,,
,,2013,,617,5,28,248,336,"2,109",547,"1,233",329,14,,
,HARTFORD,2012,"125,203",804,9,15,291,489,"2,559",484,"1,666",409,43,,
,,2013,,732,8,20,304,400,"2,380",464,"1,647",269,24,,
,NEW HAVEN5,2012,"129,934",863,9,32,360,462,"3,070",698,"2,009",363,7,,
,,2013,,793,8,44,355,386,"3,053",560,"2,087",406,10,,
,STAMFORD5,2012,"124,201",164,3,18,61,82,985,135,761,89,6,,
,,2013,,169,1,12,82,74,940,199,665,76,5,,
,WATERBURY,2012,"110,486",149,3,4,77,65,"2,360",355,"1,800",205,4,,
,,2013,,197,0,2,112,83,"2,229",309,"1,585",335,1,,
FLORIDA5 ,CAPE CORAL,2012,"159,625",99,0,6,19,74,"1,772",428,"1,286",58,7,,
,,2013,,103,2,1,24,76,"1,611",336,"1,210",65,3,,
,CLEARWATER,2012,"109,255",386,3,34,99,250,"2,147",415,"1,642",90,16,,
,,2013,,314,2,33,89,190,"2,051",383,"1,573",95,7,,
,CORAL SPRINGS,2012,"125,021",118,0,3,32,83,"1,427",283,"1,065",79,6,,
,,2013,,120,0,10,57,53,"1,201",199,942,60,2,,
,FORT LAUDERDALE,2012,"170,827",713,8,32,369,304,"4,870","1,533","3,032",305,21,,
,,2013,,697,5,43,332,317,"4,697","1,318","3,117",262,24,,
,GAINESVILLE,2012,"127,036",449,3,47,88,311,"2,429",503,"1,817",109,5,,
,,2013,,407,3,26,70,308,"2,372",382,"1,898",92,5,,
,HIALEAH,2012,"233,107",411,1,21,137,252,"3,561",479,"2,714",368,4,,
,,2013,,365,2,25,100,238,"3,177",400,"2,435",342,6,,
,JACKSONVILLE,2012,"840,660","2,547",39,164,625,"1,719","16,898","3,828","12,285",785,45,,
,,2013,,"2,521",33,247,627,"1,614","15,815","3,385","11,674",756,47,,
,MIAMI,2012,"414,327","2,429",30,25,980,"1,394","11,473","2,200","7,724","1,549",41,,
,,2013,,"2,379",29,49,"1,037","1,264","10,270","1,972","7,392",906,41,,
,MIAMI GARDENS,2012,"111,177",401,10,7,148,236,"2,296",578,"1,515",203,13,,
,,2013,,487,6,8,178,295,"2,248",541,"1,460",247,11,,
,MIRAMAR,2012,"125,998",281,2,18,75,186,"1,480",412,950,118,6,,
,,2013,,257,1,23,81,152,"1,546",487,948,111,9,,
,ORLANDO,2012,"246,513","1,301",13,76,297,915,"8,044","1,938","5,497",609,23,,
,,2013,,"1,144",12,57,253,822,"8,115","1,848","5,753",514,22,,
,PALM BAY,2012,"104,635",251,2,11,31,207,"1,222",369,787,66,7,,
,,2013,,264,3,11,37,213,"1,136",338,731,67,10,,
,PEMBROKE PINES ,2012,"159,744",120,1,8,42,69,"2,142",411,"1,615",116,4,,
,,2013,,143,0,5,47,91,"2,017",424,"1,504",89,2,,
,POMPANO BEACH,2012,"103,003",561,2,18,200,341,"2,725",633,"1,858",234,9,,
,,2013,,406,2,36,138,230,"2,497",620,"1,728",149,6,,
,PORT ST. LUCIE,2012,"168,416",201,4,21,30,146,"1,537",424,"1,072",41,5,,
,,2013,,142,0,13,15,114,938,283,620,35,1,,
,ST. PETERSBURG,2012,"248,340","1,119",6,54,301,758,"6,101","1,368","4,318",415,34,,
,,2013,,"1,208",8,67,339,794,"6,461","1,480","4,481",500,30,,
,TALLAHASSEE ,2012,"185,461",756,5,58,241,452,"4,138","1,289","2,615",234,3,,
,,2013,,728,7,87,216,418,"3,819",997,"2,652",170,7,,
,TAMPA ,2012,"350,758","1,026",11,18,252,745,"4,671","1,115","3,251",305,40,,
,,2013,,955,11,40,232,672,"4,190",920,"2,995",275,42,,
,WEST PALM BEACH,2012,"102,422",395,7,15,155,218,"2,735",647,"1,929",159,7,,
,,2013,,324,8,6,131,179,"2,307",496,"1,622",189,9,,
GEORGIA,ATHENS-CLARKE COUNTY,2012,"117,457",223,0,19,79,125,"2,196",500,"1,584",112,10,,
,,2013,,182,0,20,55,107,"1,956",472,"1,387",97,8,,
,ATLANTA,2012,"437,041","2,984",38,60,"1,024","1,862","13,670","2,868","8,448","2,354",55,,
,,2013,,"2,693",36,52,"1,139","1,466","13,544","3,007","8,209","2,328",37,,
,COLUMBUS,2012,"196,178",479,12,18,192,257,"5,126","1,161","3,572",393,13,,
,,2013,,482,13,16,200,253,"5,742","1,481","3,767",494,18,,
,SAVANNAH-CHATHAM METROPOLITAN,2012,"231,285",409,7,12,217,173,"3,940",918,"2,735",287,16,,
,,2013,,412,15,17,188,192,"3,973","1,009","2,623",341,19,,
IDAHO5,BOISE  ,2012,"211,569",260,1,37,31,191,"2,809",436,"2,294",79,19,,
,,2013,,257,3,57,17,180,"2,148",380,"1,679",89,24,,
ILLINOIS,AURORA,2012,"199,765",265,0,31,67,167,"1,680",421,"1,198",61,15,,
,,2013,,283,2,23,52,206,"1,398",299,"1,048",51,8,,
,CHICAGO9,2012,"2,708,382",,254,,"6,072","5,942","53,807","10,378","34,794","8,635",,,
,,2013,,,179,,"5,416","5,074","47,071","8,312","31,976","6,783",211,,
,ELGIN,2012,"109,155",134,1,41,38,54,878,181,661,36,6,,
,,2013,,106,2,28,33,43,832,150,637,45,3,,
,JOLIET,2012,"148,471",239,3,11,46,179,"1,840",421,"1,356",63,41,,
,,2013,,286,6,20,82,178,"1,501",355,"1,086",60,26,,
,NAPERVILLE,2012,"142,840",59,1,3,9,46,945,102,826,17,10,,
,,2013,,49,0,2,9,38,886,91,781,14,2,,
,PEORIA,2012,"115,288",416,6,9,139,262,"2,385",697,"1,576",112,27,,
,,2013,,372,6,16,119,231,"2,002",511,"1,405",86,12,,
,ROCKFORD5,2012,"152,293","1,052",4,61,233,754,"3,497",916,"2,422",159,42,,
,,2013,,985,5,74,176,730,"3,313",875,"2,242",196,18,,
,SPRINGFIELD,2012,"117,131",644,4,35,130,475,"3,643",843,"2,693",107,18,,
,,2013,,589,4,35,133,417,"2,663",534,"2,043",86,22,,
INDIANA,FORT WAYNE5,2012,"256,625",420,12,46,166,196,"4,321",895,"3,260",166,22,,
,,2013,,397,17,33,194,153,"4,482","1,015","3,309",158,9,,
,INDIANAPOLIS5,2012,"838,650","4,944",46,217,"1,600","3,081","23,084","7,034","13,791","2,259",215,,
,,2013,,"4,881",65,310,"1,650","2,856","20,759","6,301","12,172","2,286",136,,
,SOUTH BEND5,2012,"101,398",269,8,22,132,107,"2,402",845,"1,414",143,16,,
,,2013,,285,3,44,156,82,"2,095",611,"1,349",135,11,,
IOWA5,CEDAR RAPIDS,2012,"128,401",158,1,18,37,102,"2,244",481,"1,644",119,13,,
,,2013,,207,4,26,42,135,"2,063",416,"1,516",131,8,,
KANSAS,KANSAS CITY,2012,"147,201",423,7,40,117,259,"3,734",861,"2,244",629,27,,
,,2013,,379,14,44,130,191,"3,409",669,"2,205",535,19,,
,OVERLAND PARK,2012,"177,085",135,1,16,18,100,"1,891",223,"1,522",146,14,,
,,2013,,117,0,23,15,79,"1,813",219,"1,427",167,7,,
,TOPEKA,2012,"128,843",408,1,21,117,269,"3,335",606,"2,483",246,3,,
,,2013,,288,5,14,75,194,"3,133",679,"2,207",247,3,,
,WICHITA5,2012,"386,409","1,416",9,129,232,"1,046","10,513","1,929","7,788",796,64,,
,,2013,,"1,430",6,107,248,"1,069","9,889","1,816","7,218",855,54,,
KENTUCKY5,LEXINGTON5,2012,"302,332",501,6,60,269,166,"6,513","1,343","4,777",393,39,,
,,2013,,411,7,61,197,146,"5,887","1,226","4,308",353,25,,
,LOUISVILLE METRO,2012,"666,200","1,956",25,87,686,"1,158","14,498","3,358","9,973","1,167",103,,
,,2013,,"1,753",20,74,678,981,"13,442","3,261","9,275",906,105,,
LOUISIANA,BATON ROUGE,2012,"231,500","1,364",34,35,529,766,"6,080","1,919","3,910",251,101,,
,,2013,,"1,026",26,42,425,533,"5,466","1,616","3,597",253,61,,
,LAFAYETTE,2012,"122,852",387,6,5,93,283,"3,207",613,"2,493",101,21,,
,,2013,,422,5,11,139,267,"3,599",679,"2,763",157,6,,
,NEW ORLEANS,2012,"362,874","1,466",97,72,541,756,"6,655","1,518","3,966","1,171",,,
,,2013,,"1,433",77,78,523,755,"6,958","1,580","4,384",994,,,
