Table 4,,,,,,,,,,,,,,,
,SHREVEPORT,2012,"202,164",756,8,44,180,524,"4,855","1,215","3,418",222,49,,
,,2013,,719,11,39,199,470,"4,506","1,073","3,198",235,36,,
MARYLAND,BALTIMORE,2012,"625,474","4,260",105,153,"1,622","2,380","13,925","3,717","8,395","1,813",146,,
,,2013,,"4,329",115,149,"1,769","2,296","14,069","3,372","8,761","1,936",137,,
MASSACHUSETTS,BOSTON,2012,"630,648","2,524",23,112,865,"1,524","8,436","1,520","6,123",793,,,
,,2013,,"2,455",24,138,904,"1,389","8,263","1,516","6,129",618,,,
,CAMBRIDGE5,2012,"106,981",212,1,10,70,131,"1,487",236,"1,195",56,5,,
,,2013,,178,1,8,55,114,"1,245",175,"1,024",46,5,,
,LOWELL5,2012,"108,539",291,0,18,91,182,"1,464",365,938,161,14,,
,,2013,,291,2,18,96,175,"1,600",373,"1,079",148,10,,
,SPRINGFIELD5,2012,"154,518",762,6,28,213,515,"3,340","1,101","1,905",334,33,,
,,2013,,811,11,40,282,478,"3,252","1,037","1,904",311,23,,
,WORCESTER5,2012,"183,247",831,6,18,178,629,"3,042",945,"1,859",238,3,,
,,2013,,804,5,17,194,588,"3,037",987,"1,853",197,3,,
MICHIGAN5,ANN ARBOR,2012,"115,008",112,1,15,32,64,"1,212",308,850,54,9,,
,,2013,,119,0,23,20,76,"1,110",213,866,31,8,,
,DETROIT,2012,"707,096","7,176",165,213,"2,083","4,715","19,384","6,378","7,593","5,413",327,,
,,2013,,"6,853",151,312,"2,251","4,139","19,917","5,638","8,451","5,828",296,,
,FLINT,2012,"101,632","1,410",31,57,306,"1,016","2,833","1,383","1,200",250,104,,
,,2013,,"1,038",24,83,251,680,"2,182","1,049",979,154,72,,
,GRAND RAPIDS,2012,"189,953",728,4,27,222,475,"3,253",951,"2,169",133,34,,
,,2013,,593,6,24,201,362,"2,833",737,"1,984",112,26,,
,LANSING,2012,"114,688",507,7,45,98,357,"1,938",688,"1,137",113,14,,
,,2013,,580,6,73,113,388,"1,691",525,"1,025",141,17,,
,STERLING HEIGHTS,2012,"129,974",116,4,10,17,85,"1,260",155,"1,045",60,6,,
,,2013,,120,0,18,9,93,"1,216",150,982,84,4,,
,WARREN,2012,"134,340",362,0,38,68,256,"1,746",414,"1,038",294,22,,
,,2013,,329,1,62,81,185,"1,745",415,"1,043",287,19,,
MINNESOTA5,MINNEAPOLIS,2012,"390,240","1,903",13,218,797,875,"8,781","2,075","5,848",858,52,,
,,2013,,"1,782",13,194,784,791,"8,500","1,871","5,884",745,65,,
,ST. PAUL,2012,"290,700","1,029",6,86,317,620,"5,550","1,450","3,235",865,63,,
,,2013,,988,7,112,302,567,"5,125","1,321","3,049",755,46,,
MISSISSIPPI,JACKSON,2012,"175,939",831,32,61,392,346,"5,556","2,005","2,991",560,29,,
,,2013,,799,19,50,415,315,"4,888","1,571","2,786",531,71,,
MISSOURI5,COLUMBIA,2012,"110,646",229,3,13,61,152,"1,965",384,"1,525",56,10,,
,,2013,,211,4,21,58,128,"1,957",265,"1,627",65,4,,
,INDEPENDENCE,2012,"117,433",263,1,19,64,179,"3,410",583,"2,478",349,15,,
,,2013,,222,1,28,51,142,"3,403",595,"2,432",376,18,,
,KANSAS CITY,2012,"464,073","2,787",48,131,754,"1,854","12,449","3,347","7,526","1,576",107,,
,,2013,,"2,805",46,196,758,"1,805","12,119","3,265","6,944","1,910",94,,
,SPRINGFIELD,2012,"160,962",804,5,70,160,569,"7,045","1,034","5,576",435,25,,
,,2013,,908,5,133,189,581,"7,193","1,140","5,528",525,38,,
,ST. LOUIS,2012,"318,667","3,028",58,101,877,"1,992","10,266","2,262","6,424","1,580",94,,
,,2013,,"2,419",49,162,680,"1,528","9,934","1,960","6,432","1,542",79,,
MONTANA5,BILLINGS,2012,"106,371",189,2,17,37,133,"2,185",366,"1,662",157,5,,
,,2013,,164,0,12,31,121,"2,767",480,"2,071",216,3,,
NEBRASKA,LINCOLN,2012,"264,175",499,1,95,89,314,"4,678",698,"3,844",136,13,,
,,2013,,461,1,69,91,300,"4,051",580,"3,341",130,15,,
,OMAHA,2012,"417,970","1,115",15,91,303,706,"8,850","1,480","6,239","1,131",41,,
,,2013,,"1,143",21,95,330,697,"8,598","1,515","5,649","1,434",37,,
NEVADA,HENDERSON,2012,"263,469",224,3,35,88,98,"2,433",629,"1,582",222,19,,
,,2013,,167,2,16,78,71,"2,705",669,"1,808",228,13,,
,"LAS VEGAS METROPOLITAN 
  POLICE DEPARTMENT     ",2012,"1,479,393","5,629",32,301,"1,795","3,501","21,895","6,619","12,150","3,126",118,,
,,2013,,"5,587",50,345,"1,970","3,222","23,164","7,130","13,119","2,915",116,,
,NORTH LAS VEGAS,2012,"221,884",824,6,33,180,605,"2,643",739,"1,447",457,7,,
,,2013,,955,2,50,220,683,"2,824","1,020","1,404",400,1,,
,RENO,2012,"230,486",568,0,11,155,402,"3,713",797,"2,483",433,10,,
,,2013,,570,6,40,139,385,"3,442",723,"2,324",395,10,,
NEW HAMPSHIRE5,MANCHESTER,2012,"110,040",336,0,37,114,185,"1,906",414,"1,408",84,22,,
,,2013,,319,2,46,113,158,"1,851",367,"1,420",64,17,,
NEW JERSEY,EDISON TOWNSHIP,2012,"101,007",61,0,5,33,23,740,136,556,48,5,,
,,2013,,59,0,4,25,30,633,133,438,62,5,,
,ELIZABETH,2012,"126,281",471,7,18,235,211,"2,140",479,"1,116",545,1,,
,,2013,,467,1,13,238,215,"1,747",386,882,479,1,,
,JERSEY CITY,2012,"251,554",931,5,18,428,480,"2,524",670,"1,505",349,12,,
,,2013,,842,7,19,356,460,"2,360",575,"1,415",370,14,,
,NEWARK,2012,"278,906","1,425",44,26,859,496,"4,680","1,019","1,844","1,817",28,,
,,2013,,"1,666",42,23,"1,120",481,"4,559","1,048","2,068","1,443",16,,
,PATERSON,2012,"147,148",745,9,9,397,330,"2,316",804,"1,139",373,2,,
,,2013,,723,5,11,414,293,"2,140",744,"1,007",389,3,,
,WOODBRIDGE TOWNSHIP,2012,"100,612",64,0,3,23,38,996,167,771,58,8,,
,,2013,,65,0,1,32,32,971,135,768,68,3,,
NEW YORK6,AMHERST TOWN,2012,"117,591",38,0,3,16,19,967,74,874,19,1,,
,,2013,,57,0,2,11,44,"1,025",103,908,14,1,,
,BUFFALO,2012,"262,434","1,609",20,75,659,855,"6,276","1,766","3,994",516,153,,
,,2013,,"1,555",18,73,605,859,"5,867","1,621","3,786",460,110,,
,NEW YORK,2012,"8,289,415","24,769",192,552,"9,410","14,615","68,171","8,685","55,640","3,846",,,
,,2013,,"24,279",155,587,"8,585","14,952","65,875","7,718","54,834","3,323",,,
,ROCHESTER,2012,"211,993","1,018",20,58,368,572,"5,209","1,294","3,612",303,95,,
,,2013,,989,8,38,426,517,"4,676","1,226","3,143",307,66,,
,SYRACUSE,2012,"145,934",641,5,38,203,395,"2,571",787,"1,587",197,28,,
,,2013,,545,12,43,164,326,"2,974",802,"1,986",186,29,,
,YONKERS,2012,"198,464",537,2,14,210,311,"1,244",252,882,110,10,,
,,2013,,496,2,11,172,311,"1,237",257,849,131,3,,
NORTH CAROLINA,CARY,2012,"141,016",66,0,3,17,46,965,171,769,25,7,,
,,2013,,49,1,6,18,24,"1,001",188,781,32,3,,
,CHARLOTTE-MECKLENBURG,2012,"808,504","2,564",25,115,857,"1,567","15,519","3,534","10,948","1,037",98,,
,,2013,,"2,455",24,128,844,"1,459","14,394","3,042","10,524",828,112,,
,DURHAM,2012,"235,563",794,11,36,261,486,"5,064","1,634","3,105",325,28,,
,,2013,,718,13,33,280,392,"4,739","1,459","2,937",343,14,,
,FAYETTEVILLE,2012,"205,966",561,9,35,244,273,"6,365","2,027","3,991",347,25,,
,,2013,,519,10,39,244,226,"5,977","1,651","4,006",320,25,,
,GREENSBORO,2012,"276,134",673,10,34,253,376,"6,012","1,737","4,018",257,63,,
,,2013,,680,13,42,244,381,"5,498","1,344","3,916",238,58,,
,HIGH POINT,2012,"106,801",289,1,10,96,182,"2,083",526,"1,422",135,20,,
,,2013,,228,1,16,64,147,"2,040",549,"1,337",154,15,,
,RALEIGH,2012,"420,594",819,7,57,297,458,"6,771","1,494","4,819",458,37,,
,,2013,,804,5,36,286,477,"6,104","1,535","4,258",311,31,,
,WILMINGTON,2012,"109,370",317,3,12,119,183,"2,990",894,"1,910",186,4,,
,,2013,,326,3,20,105,198,"2,584",767,"1,681",136,5,,
,WINSTON-SALEM,2012,"234,687",813,4,36,211,562,"6,761","2,273","4,156",332,40,,
,,2013,,692,2,39,203,448,"6,237","1,853","4,069",315,33,,
NORTH DAKOTA5,FARGO,2012,"109,813",206,1,44,19,142,"1,392",206,"1,107",79,5,,
,,2013,,209,1,34,22,152,"1,350",289,992,69,3,,
OHIO,AKRON5,2012,"198,390",826,12,98,262,454,"5,021","1,688","2,952",381,49,,
,,2013,,821,14,74,268,465,"4,572","1,448","2,821",303,42,,
,CINCINNATI5,2012,"296,204","1,353",22,90,776,465,"8,588","2,734","5,317",537,191,,
,,2013,,"1,389",32,83,776,498,"7,812","2,448","4,793",571,142,,
,CLEVELAND5,2012,"393,781","2,510",36,173,"1,442",859,"11,460","4,595","5,290","1,575",133,,
,,2013,,"2,698",26,203,"1,612",857,"10,885","3,759","5,118","2,008",148,,
,DAYTON5,2012,"142,139",655,16,51,278,310,"4,135","1,442","2,315",378,62,,
,,2013,,615,12,49,258,296,"3,506","1,170","2,032",304,64,,
OKLAHOMA,BROKEN ARROW,2012,"100,688",80,0,17,20,43,993,184,754,55,10,,
,,2013,,77,0,21,12,44,"1,012",210,725,77,6,,
,NORMAN,2012,"113,969",78,0,28,27,23,"1,521",268,"1,169",84,4,,
,,2013,,81,2,32,17,30,"1,368",313,982,73,9,,
,OKLAHOMA CITY,2012,"595,607","2,650",40,187,555,"1,868","17,578","4,807","10,647","2,124",52,,
,,2013,,"2,462",29,195,556,"1,682","15,736","4,003","9,823","1,910",75,,
,TULSA,2012,"398,904","1,981",24,156,515,"1,286","10,294","2,986","6,085","1,223",119,,
,,2013,,"1,807",34,174,464,"1,135","10,037","2,894","5,996","1,147",87,,
OREGON,EUGENE,2012,"158,043",222,0,34,102,86,"3,763",716,"2,783",264,36,,
,,2013,,194,0,36,92,66,"4,053",764,"3,047",242,37,,
,GRESHAM,2012,"108,202",246,1,19,109,117,"2,508",481,"1,654",373,16,,
,,2013,,250,1,26,117,106,"1,974",355,"1,370",249,11,,
,PORTLAND,2012,"598,037","1,540",10,122,465,943,"15,559","2,395","11,566","1,598",148,,
,,2013,,"1,412",6,100,420,886,"14,173","2,005","10,496","1,672",80,,
,SALEM5,2012,"157,353",273,6,19,63,185,"3,093",480,"2,327",286,20,,
,,2013,,267,2,21,76,168,"3,515",502,"2,663",350,24,,
PENNSYLVANIA5,ALLENTOWN6,2012,"119,334",295,7,28,167,93,"2,195",537,"1,500",158,9,,
,,2013,,309,6,22,165,116,"2,012",601,"1,251",160,2,,
,ERIE,2012,"101,972",200,3,24,61,112,"1,678",458,"1,169",51,16,,
,,2013,,224,2,36,89,97,"1,439",439,958,42,14,,
,PHILADELPHIA,2012,"1,538,957","8,671",184,440,"3,694","4,353","27,062","5,579","18,362","3,121",,,
,,2013,,"8,202",116,609,"3,522","3,955","24,733","5,076","16,989","2,668",,,
,PITTSBURGH,2012,"312,112","1,123",21,19,556,527,"4,769","1,189","3,342",238,139,,
,,2013,,"1,144",19,30,460,635,"4,901","1,072","3,529",300,120,,
RHODE ISLAND5,PROVIDENCE,2012,"177,882",565,9,45,170,341,"3,948",922,"2,447",579,13,,
,,2013,,505,6,43,164,292,"3,767",868,"2,397",502,8,,
SOUTH CAROLINA5,CHARLESTON,2012,"123,856",177,7,10,62,98,"1,747",216,"1,402",129,3,,
,,2013,,115,2,17,37,59,"1,564",122,"1,363",79,1,,
,COLUMBIA,2012,"131,833",614,6,32,187,389,"4,235","1,048","2,708",479,10,,
,,2013,,416,2,29,152,233,"3,579",656,"2,603",320,5,,
,NORTH CHARLESTON,2012,"100,675",382,7,30,101,244,"2,846",377,"2,216",253,6,,
,,2013,,340,9,22,86,223,"2,819",463,"2,100",256,9,,
TENNESSEE5,CHATTANOOGA,2012,"171,541",845,10,26,238,571,"5,274","1,095","3,742",437,10,,
,,2013,,837,12,28,216,581,"5,279","1,098","3,746",435,4,,
,CLARKSVILLE,2012,"137,356",481,6,30,48,397,"1,848",491,"1,268",89,15,,
,,2013,,367,3,42,59,263,"1,979",466,"1,435",78,16,,
,KNOXVILLE,2012,"182,254",928,8,56,280,584,"6,145","1,346","4,315",484,13,,
,,2013,,721,10,56,183,472,"5,493","1,085","4,084",324,8,,
,MEMPHIS,2012,"657,436","5,667",56,214,"1,571","3,826","20,104","5,828","12,827","1,449",179,,
,,2013,,"5,419",60,203,"1,509","3,647","19,118","5,604","12,141","1,373",177,,
,MURFREESBORO,2012,"112,247",357,2,37,48,270,"2,016",461,"1,479",76,3,,
,,2013,,354,3,23,65,263,"1,981",382,"1,503",96,3,,
,NASHVILLE,2012,"620,886","3,672",27,161,819,"2,665","12,825","2,753","9,398",674,49,,
,,2013,,"2,990",14,188,768,"2,020","12,504","2,916","8,995",593,52,,
TEXAS,ABILENE,2012,"119,886",239,1,24,55,159,"2,183",537,"1,560",86,14,,
,,2013,,242,1,21,70,150,"2,268",479,"1,666",123,2,,
,ARLINGTON,2012,"379,295","1,002",10,79,232,681,"7,566","1,785","5,296",485,27,,
,,2013,,951,5,58,280,608,"7,791","1,750","5,551",490,17,,
,AUSTIN,2012,"832,901","1,736",15,101,522,"1,098","21,676","3,614","16,822","1,240",61,,
,,2013,,"1,548",8,113,386,"1,041","20,725","3,317","16,334","1,074",66,,
,BEAUMONT,2012,"120,323",602,10,40,197,355,"2,934",957,"1,854",123,22,,
,,2013,,655,11,22,228,394,"3,243","1,016","2,075",152,18,,
,BROWNSVILLE,2012,"181,102",248,1,20,68,159,"4,207",570,"3,546",91,4,,
,,2013,,257,0,34,62,161,"3,905",589,"3,164",152,2,,
,CARROLLTON,2012,"124,477",98,0,6,40,52,"1,703",404,"1,160",139,6,,
,,2013,,81,0,0,36,45,"1,469",369,"1,019",81,7,,
,CORPUS CHRISTI,2012,"312,565","1,037",7,87,207,736,"6,863","1,170","5,480",213,18,,
,,2013,,960,11,72,180,697,"7,136","1,284","5,628",224,26,,
,DALLAS,2012,"1,241,549","4,081",62,265,"1,964","1,790","26,885","8,036","15,536","3,313",288,,
,,2013,,"4,268",73,287,"2,082","1,826","26,527","7,551","15,462","3,514",242,,
,EL PASO,2012,"675,536","1,390",14,89,210,"1,077","7,795",886,"6,268",641,60,,
,,2013,,"1,238",6,92,205,935,"7,360",866,"6,130",364,47,,
,GARLAND,2012,"234,984",278,4,25,123,126,"4,345","1,053","3,026",266,19,,
,,2013,,232,3,30,94,105,"4,244","1,106","2,828",310,17,,
,GRAND PRAIRIE,2012,"181,782",225,0,30,55,140,"2,629",688,"1,652",289,15,,
,,2013,,278,9,24,80,165,"2,714",629,"1,782",303,8,,
,HOUSTON,2012,"2,177,273","10,719",105,332,"4,468","5,814","51,707","13,016","32,326","6,365",364,,
,,2013,,"10,106",105,302,"4,612","5,087","54,719","11,849","36,158","6,712",371,,
,IRVING,2012,"224,007",253,1,16,63,173,"3,085",634,"2,174",277,10,,
,,2013,,253,1,15,84,153,"3,048",564,"2,206",278,11,,
,KILLEEN,2012,"131,965",416,3,39,103,271,"2,537",736,"1,707",94,12,,
,,2013,,390,2,39,88,261,"2,128",605,"1,426",97,24,,
,LAREDO,2012,"245,558",540,8,43,96,393,"5,247",859,"4,167",221,48,,
,,2013,,502,1,30,102,369,"5,251",688,"4,382",181,34,,
,LUBBOCK,2012,"237,241",943,2,50,174,717,"5,869","1,510","4,028",331,21,,
,,2013,,896,3,48,165,680,"5,461","1,276","3,768",417,17,,
,MCALLEN,2012,"135,745",76,0,1,23,52,"2,757",267,"2,387",103,5,,
,,2013,,78,1,5,34,38,"2,737",256,"2,374",107,5,,
,MESQUITE,2012,"144,811",209,1,7,81,120,"3,049",813,"1,938",298,8,,
,,2013,,191,4,10,85,92,"3,109",751,"2,030",328,7,,
,MIDLAND,2012,"115,637",190,3,5,21,161,"1,468",269,"1,125",74,2,,
,,2013,,164,2,15,31,116,"1,555",282,"1,197",76,1,,
,ODESSA,2012,"103,635",572,1,23,59,489,"1,623",340,"1,139",144,10,,
,,2013,,568,1,27,84,456,"2,138",370,"1,533",235,5,,
,PASADENA,2012,"154,562",269,4,26,70,169,"2,548",476,"1,849",223,18,,
,,2013,,291,1,24,107,159,"2,696",500,"1,952",244,16,,
,RICHARDSON,2012,"103,266",92,1,13,32,46,"1,571",362,"1,142",67,2,,
,,2013,,69,2,12,29,26,"1,400",282,"1,045",73,3,,
,ROUND ROCK,2012,"106,232",67,0,15,20,32,"1,248",169,"1,033",46,3,,
,,2013,,71,2,4,23,42,"1,209",148,"1,038",23,4,,
,SAN ANTONIO,2012,"1,380,123","3,403",48,289,918,"2,148","40,364","7,802","29,460","3,102",125,,
,,2013,,"3,865",28,272,"1,020","2,545","37,727","6,873","27,747","3,107",146,,
,WACO,2012,"128,595",293,3,25,86,179,"2,759",780,"1,910",69,17,,
,,2013,,251,1,29,70,151,"2,682",746,"1,848",88,25,,
,WICHITA FALLS,2012,"105,488",254,2,18,87,147,"2,485",658,"1,713",114,6,,
,,2013,,210,2,20,55,133,"2,266",469,"1,654",143,0,,
UTAH5,SALT LAKE CITY,2012,"192,465",582,1,66,137,378,"6,174",692,"4,897",585,17,,
,,2013,,727,2,103,194,428,"6,432","1,057","4,567",808,22,,
,WEST JORDAN,2012,"107,103",96,2,13,18,63,"1,281",206,984,91,2,,
,,2013,,101,0,10,9,82,"1,492",201,"1,181",110,6,,
,WEST VALLEY,2012,"133,725",295,0,42,59,194,"2,653",442,"1,959",252,7,,
,,2013,,341,1,35,78,227,"3,053",499,"2,074",480,2,,
VIRGINIA5,ALEXANDRIA,2012,"145,892",125,0,5,70,50,"1,450",139,"1,158",153,3,,
,,2013,,106,3,8,44,51,"1,430",110,"1,186",134,2,,
,CHESAPEAKE,2012,"227,531",395,6,20,74,295,"3,117",532,"2,431",154,13,,
,,2013,,359,1,26,86,246,"2,892",537,"2,244",111,13,,
,HAMPTON,2012,"137,905",174,6,9,87,72,"2,299",367,"1,788",144,18,,
,,2013,,134,12,9,49,64,"2,031",334,"1,606",91,14,,
,NEWPORT NEWS ,2012,"181,591",407,8,26,157,216,"2,775",501,"2,127",147,30,,
,,2013,,368,9,31,103,225,"2,588",517,"1,923",148,38,,
,NORFOLK,2012,"245,303",646,18,34,228,366,"5,232",983,"3,924",325,26,,
,,2013,,643,11,52,194,386,"5,312","1,011","3,939",362,28,,
,RICHMOND,2012,"207,799",575,17,16,248,294,"4,330",981,"2,867",482,22,,
,,2013,,610,14,17,284,295,"3,945",767,"2,721",457,32,,
,VIRGINIA BEACH,2012,"447,588",364,11,32,155,166,"5,629",745,"4,641",243,74,,
,,2013,,377,10,69,155,143,"5,339",714,"4,461",164,56,,
WASHINGTON,BELLEVUE,2012,"126,022",75,1,12,27,35,"1,618",334,"1,193",91,12,,
,,2013,,58,1,10,20,27,"1,994",393,"1,485",116,10,,
,EVERETT,2012,"105,318",245,1,32,91,121,"3,180",600,"2,162",418,17,,
,,2013,,199,0,18,92,89,"3,216",593,"2,086",537,9,,
,SEATTLE5,2012,"626,865","1,837",20,62,674,"1,081","16,271","2,994","11,583","1,694",38,,
,,2013,,"1,694",8,70,712,904,"14,773","3,754","9,085","1,934",57,,
,SPOKANE,2012,"212,163",595,6,26,239,324,"8,535","1,711","5,921",903,19,,
,,2013,,721,5,66,250,400,"9,361","1,835","6,372","1,154",27,,
,TACOMA5,2012,"202,646",765,6,54,222,483,"6,195","1,525","3,708",962,36,,
,,2013,,913,6,78,256,573,"6,055","1,417","3,794",844,43,,
,VANCOUVER5,2012,"166,375",288,4,44,79,161,"2,986",516,"1,998",472,26,,
,,2013,,285,2,41,76,166,"3,091",494,"2,103",494,22,,
WISCONSIN5,GREEN BAY,2012,"106,080",262,2,24,42,194,"1,475",355,"1,062",58,9,,
,,2013,,209,1,23,35,150,"1,170",235,891,44,9,,
,MADISON,2012,"237,508",454,2,59,117,276,"3,639",640,"2,866",133,18,,
,,2013,,392,2,31,128,231,"3,280",534,"2,653",93,,,
,MILWAUKEE,2012,"599,395","3,551",37,105,"1,228","2,181","14,581","2,976","9,637","1,968",158,,
,,2013,,"3,738",34,212,"1,429","2,063","12,160","2,819","7,622","1,719",120,,
1 The 2013 population figures are FBI estimates based on provisional data from the U.S. Census Bureau.  (See Data Declaration.) ,,,,,,,,,,,,,,,
2 The FBI does not publish arson data unless it receives data from either the agency or the state for all 6 months for 2012 and/or 2013.,,,,,,,,,,,,,,,
"3 Birmingham and Mobile, Alabama, submitted a 12 month total for 2012 offenses; therefore, no 2012 six month figures were included in this table.",,,,,,,,,,,,,,,
"4 The population for the city of Mobile, Alabama, includes 55,819 inhabitants from the jurisdiction of the Mobile County Sheriff's Department.  ",,,,,,,,,,,,,,,
5 The figure shown for the 2013 rape offense was reported using the new definition of rape and is not comparable to previous years' historical forcible rape data.,,,,,,,,,,,,,,,
"6 Because of changes in the state/local agency's reporting practices, figures are not comparable to previous years' data.",,,,,,,,,,,,,,,
"7 The FBI determined that the agency's data were overreported.  Consequently, those data are not included in this table.",,,,,,,,,,,,,,,
"8 The FBI determined that the agency did not follow national Uniform Crime Reporting (UCR) Program guidelines for reporting the 2012 larceny-theft offense.  Consequently, this figure is not included in this table.",,,,,,,,,,,,,,,
"9 The data collection methodology for the offense of forcible rape does not comply with national UCR Program guidelines.  Consequently, their figures for forcible rape and violent crime (of which forcible rape is a part) are not included in this Report. ",,,,,,,,,,,,,,,
NOTE:  All the 2012 rape figures were reported based on the historical definition of forcible rape.   ,,,,,,,,,,,,,,,
,,,,, , , ,, ,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
, ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,, ,,,,,
,,,,,, ,,,,,,,,,
